"date","code","site","o3","o3_normalised"
2020-03-10,"GB6","Greenwich - Falconwood",22.4587318236498,18.8317795518068
2020-03-11,"GB6","Greenwich - Falconwood",29.8760203813755,19.1900859127664
2020-03-12,"GB6","Greenwich - Falconwood",28.084883573733,19.4283542260171
2020-03-13,"GB6","Greenwich - Falconwood",23.1275198564875,19.3125396703014
2020-03-14,"GB6","Greenwich - Falconwood",28.8134116220187,19.5360981496731
2020-03-15,"GB6","Greenwich - Falconwood",28.1271032412994,18.9202533802021
2020-03-16,"GB6","Greenwich - Falconwood",15.9119080818941,19.3956456750049
2020-03-17,"GB6","Greenwich - Falconwood",26.6182384099445,18.9971540551253
2020-03-18,"GB6","Greenwich - Falconwood",26.0832336775923,19.1179112187491
2020-03-19,"GB6","Greenwich - Falconwood",18.2010310013643,19.2487893637111
2020-03-20,"GB6","Greenwich - Falconwood",25.4618424718054,19.1287959536471
2020-03-21,"GB6","Greenwich - Falconwood",24.5125702137992,19.2423135829359
2020-03-22,"GB6","Greenwich - Falconwood",21.5285631232607,18.7955679768679
2020-03-23,"GB6","Greenwich - Falconwood",14.3287485710755,19.1091765760721
2020-03-24,"GB6","Greenwich - Falconwood",20.0105378563734,18.9628075373831
2020-03-25,"GB6","Greenwich - Falconwood",14.6802784725554,18.866145528959
2020-03-26,"GB6","Greenwich - Falconwood",23.2912405330728,19.135996148668
2020-03-27,"GB6","Greenwich - Falconwood",30.1570218795648,19.4518588340025
2020-03-28,"GB6","Greenwich - Falconwood",35.4312058357843,18.733717514608
2020-03-29,"GB6","Greenwich - Falconwood",32.2644086172889,19.3975952794671
2020-03-30,"GB6","Greenwich - Falconwood",23.5290686871285,18.9206917709196
2020-03-31,"GB6","Greenwich - Falconwood",26.0730240458244,19.4388571357897
2020-04-01,"GB6","Greenwich - Falconwood",17.2978356106055,18.8521858106121
2020-04-02,"GB6","Greenwich - Falconwood",20.6986325568971,18.8363703636281
2020-04-03,"GB6","Greenwich - Falconwood",18.5518328463226,18.976830061801
2020-04-04,"GB6","Greenwich - Falconwood",22.1852777150377,19.2350685659643
2020-04-05,"GB6","Greenwich - Falconwood",30.5579014222788,19.3902817003593
2020-04-06,"GB6","Greenwich - Falconwood",27.0249181034489,19.22511446481
2020-04-07,"GB6","Greenwich - Falconwood",14.9943101240031,19.5291691243816
2020-04-08,"GB6","Greenwich - Falconwood",17.4099217056391,19.0992640170973
2020-04-09,"GB6","Greenwich - Falconwood",17.6242125607136,19.2237244397698
2020-04-10,"GB6","Greenwich - Falconwood",18.2981383924057,19.4910315462571
2020-04-11,"GB6","Greenwich - Falconwood",16.598394029574,18.9893686007781
2020-04-12,"GB6","Greenwich - Falconwood",35.823201093307,19.148028152489
2020-04-13,"GB6","Greenwich - Falconwood",33.967525964372,19.531575587283
2020-04-14,"GB6","Greenwich - Falconwood",30.5422248071809,18.9809461142917
